,RF_Importance,XGB_Importance,EN_Coefficient,LR_Coefficient
Current_Account_lag1,0.0252,0.0437,0.0,0.0399
Debt_diff_lag1,0.0218,0.0564,-0.0,-0.046
Expenditure_diff_lag1,0.0226,0.0679,-0.0788,-0.1897
Exports_lag1,0.0217,0.0544,-0.0463,-0.3057
Fiscal_Balance_lag1,0.0261,0.0576,-0.0,-0.2028
GDP_Growth_lag1,0.2813,0.1323,0.8104,0.871
GDP_Growth_rollmean3,0.408,0.1893,1.4695,1.5673
Imports_lag1,0.0212,0.0431,0.2244,0.4687
Inflation_lag1_log,0.0378,0.0568,-0.1489,-0.2896
Instability_Index,0.0623,0.0541,0.2946,0.4147
Investment_diff_lag1,0.0239,0.0742,-0.2688,-0.4765
Revenue_diff_lag1,0.0198,0.0531,-0.0,-0.0448
Savings_diff_lag1,0.0283,0.1172,0.3139,0.5191
